Sample_ID,Strain,Sex,Live.LN.T,CD3T.LN.T,LN_CD3Tper,CD4T.LN.T,LN_CD4Tper,Treg.LN.T,LN_Tregper,CD8T.LN.T,LN_CD8Tper,DNT.LN.T,LN_DNTper,DPT.LN.T,LN_DPTper,Live.Spl.T,CD3T.Spl.T,Spl_CD3Tper,CD4T.Spl.T,Spl_CD4Tper,Treg.Spl.T,Spl_Tregper,CD8T.Spl.T,Spl_CD8Tper,DNT.Spl.T,Spl_DNTper,DPT.Spl.T,Spl_DPTper,Live.Thy.T,CD3T.Thy.T,Thy_CD3Tper,CD4T.Thy.T,Thy_CD4Tper,Treg.Thy.T,Thy_Tregper,CD8T.Thy.T,Thy_CD8Tper,DNT.Thy.T,Thy_DNTper,DPT.Thy.T,Thy_DPTper
CC007_M01,CC007,m,4.446117581,3.593396842,0.140371603,3.412628521,0.659525631,1.924279286,0.032482599,2.937517892,0.220862025,2.597695186,0.100994644,1.255272505,0.004590666,4.943974052,4.557447046,0.410651103,4.312473558,0.568887658,3.131297797,0.065890718,4.016197354,0.287574456,3.627775375,0.117578612,2.235528447,0.004765203,5.75796434,4.731242158,0.094032464,4.553166699,0.663627755,3.014520539,0.02893036,3.71222867,0.095716434,3.715585552,0.096459142,3.767897616,0.108806655
CC007_M02,CC007,m,4.884529157,4.360271454,0.299048961,4.209541822,0.706757405,2.800717078,0.039009938,3.683587318,0.210530908,3.138618434,0.060027047,1.716003344,0.002268464,5.240940935,4.793287373,0.356735589,4.533187184,0.549414113,3.317227349,0.060819125,4.201287854,0.255858872,3.987442805,0.156370719,2.57634135,0.006068117,5.633211843,4.656673046,0.105550721,4.481886729,0.66867284,2.962369336,0.030233095,3.621384028,0.092195767,3.583538819,0.084501764,3.747100931,0.123148148
CC007_M03,CC007,m,4.988599085,4.51913204,0.339260233,4.407594831,0.773504403,2.983626287,0.037673109,3.717087725,0.15774503,3.184975191,0.046327957,2,0.003025993,5.178640311,4.746166964,0.369425316,4.473983023,0.534337998,3.174641193,0.050194735,4.174117981,0.267886616,3.936714758,0.155077144,2.580924976,0.006835307,5.714600481,4.82022117,0.127532446,4.658726677,0.689454336,3.114277297,0.028546352,3.838156185,0.104216148,3.677059177,0.071918067,3.83372069,0.103157194
CC007_F04,CC007,f,4.871899701,4.323643923,0.282972494,4.197032319,0.747116617,2.755874856,0.036211168,3.562292864,0.173240306,3.05804623,0.05425032,1.681241237,0.002278229,5.184694269,4.708038281,0.333690629,4.327747071,0.416589952,2.95230801,0.042127039,4.124210683,0.260718833,4.138460595,0.269415336,2.434568904,0.005327588,5.549777921,4.701550717,0.141831532,4.53583823,0.682790568,3.011147361,0.029875084,3.827627705,0.133683248,3.424064525,0.052785399,3.699490845,0.09952682
CC007_F05,CC007,f,5.187105969,4.509565403,0.21011615,4.420533323,0.814644106,2.959518377,0.034592747,3.487703863,0.095090791,3.333648757,0.066693476,2.025305865,0.003278993,na,na,na,na,na,na,na,na,na,na,na,na,na,5.522704993,4.755303039,0.170843337,4.611617111,0.71831357,3.008174184,0.024920518,3.846275242,0.123302591,3.495544338,0.054984629,3.643057684,0.077224418
CC007_F06,CC007,f,5.005682322,4.666910914,0.458383095,4.519434195,0.71207097,2.945468585,0.026670699,4.05376969,0.243701822,3.133858125,0.02930537,2.056904851,0.002454675,5.189032477,4.776752018,0.387007642,4.495572087,0.52338355,3.141449773,0.044246374,4.197749068,0.263631348,4.037546012,0.182303075,2.403120521,0.004230274,5.674923572,4.764579592,0.122929473,4.585708827,0.662413591,3.080265627,0.031228908,3.739809599,0.094456099,3.757320097,0.098342332,3.799822831,0.108453417
CC019_M07,CC019,m,4.766003644,3.329601248,0.036609821,3.158362492,0.674157303,1.579783597,0.026388889,2.63447727,0.201779026,2.348304863,0.104400749,0.698970004,0.002340824,5.240309571,5.035969769,0.624683734,4.699239183,0.460542183,3.099335278,0.025124423,4.684414443,0.445086758,3.92992956,0.078335711,2.555094449,0.003304644,5.659764123,4.939823651,0.190572192,4.744801319,0.638230666,3.356408327,0.040889049,4.166903524,0.168686323,3.844477176,0.080288533,3.774954689,0.068411803
CC019_M08,CC019,m,5.144527507,5.039124493,0.784507295,4.886310202,0.703373025,3.438384107,0.03565118,4.490337794,0.282626774,2.729974286,0.004907381,2.387389826,0.002229797,5.362799032,5.169645049,0.64098227,4.848299987,0.47715001,3.260071388,0.025809013,4.814167657,0.441085324,3.975937042,0.06401651,2.836956737,0.004648488,5.763966783,5.036465206,0.187283028,4.818674477,0.605632637,3.500236475,0.048035465,4.286523832,0.177851948,3.782759193,0.055756305,4.086929024,0.112321739
CC019_M09,CC019,m,5.002938893,4.923974139,0.833748845,4.748707319,0.667933429,3.393224116,0.044107942,4.427226364,0.318604734,2.764176132,0.006921528,2.029383778,0.001274705,5.157725663,4.993740351,0.685511409,4.680679911,0.486339519,3.055760465,0.023718136,4.651529987,0.454767726,3.647187298,0.045024298,2.561101384,0.003692845,5.556021325,4.795907811,0.173734667,4.531504463,0.543997184,3.27392678,0.055261455,3.930694388,0.136391271,4.040523226,0.175636759,3.733197265,0.086554461
CC019_F10,CC019,f,4.985246791,4.892050057,0.806869439,4.706939566,0.652964407,3.374198258,0.046479205,4.411131271,0.330431326,2.88592634,0.009859986,1.892094603,0.001000103,5.121366125,4.873564715,0.565195363,4.5669322,0.493591287,3.154728207,0.038707579,4.476382326,0.400698403,3.807940721,0.085975757,2.367355921,0.00311739,5.728791914,4.882211369,0.142370318,4.486557985,0.402111614,3.170555059,0.048305555,3.817102404,0.086077776,4.448721775,0.368561873,3.791971201,0.081238114
CC019_F11,CC019,f,5.116700702,5.020580861,0.801456875,4.847517135,0.671330339,3.4827307,0.043173133,4.513603764,0.311188044,3.033423755,0.010300134,2.190331698,0.00147826,5.231640318,4.986261026,0.568356339,4.668805097,0.481442107,3.144574208,0.029906742,4.604118006,0.414817414,3.917925422,0.085440621,2.532754379,0.0035196,5.496075434,4.711680717,0.164287788,4.485238609,0.593687482,3.227115083,0.055192043,3.831037486,0.131630572,3.715501945,0.100883753,3.793999801,0.120870156
CC019_F12,CC019,f,4.83379711,4.742937122,0.811222545,4.546419267,0.636036655,3.18582536,0.04359193,4.282191456,0.346142028,2.712649702,0.009326369,1.924279286,0.001518246,5.207984247,4.99127482,0.607142415,4.65889817,0.46518248,3.172602931,0.032636589,4.643136711,0.448602708,3.810770011,0.065992593,2.8162413,0.006682923,5.515830147,4.970095713,0.284620099,4.760626011,0.61734836,3.421768401,0.045829212,4.169850702,0.158399931,3.769451179,0.063002164,4.004880007,0.108338868
CC026_M13,CC026,m,4.498599987,4.331103226,0.679991117,4.071255878,0.549734067,2.715167358,0.044046508,3.954628378,0.420266866,2.611723308,0.019081833,1.477121255,0.001399645,5.373794417,4.91239744,0.345623309,4.584252049,0.469736826,3.42373725,0.069101138,4.497399649,0.384593738,3.962416693,0.11220682,2.764176132,0.007108512,5.724474944,4.685858132,0.091492014,4.444700429,0.573908025,2.818225894,0.02363336,3.851258349,0.146352524,3.62065648,0.086059407,3.83486558,0.140931297
CC026_M14,CC026,m,4.810299741,4.605498981,0.624021049,4.361236617,0.569819932,2.953276337,0.039087664,4.196037941,0.38952825,3.021189299,0.026042958,1.716003344,0.001289747,5.250990554,4.828975515,0.37842948,4.504348509,0.473557799,3.383635868,0.075733383,4.396094685,0.36907886,3.912062556,0.121084078,2.635483747,0.006404839,5.651485418,4.660818063,0.102172177,4.36912305,0.510863631,2.777426822,0.025603761,3.767081621,0.127721367,3.645520515,0.096538923,3.968436248,0.203057102
CC026_M15,CC026,m,5.177571127,5.051789021,0.748544967,4.801252744,0.561647362,3.429429264,0.042479219,4.664237574,0.409683575,3.249931757,0.015781299,2.269512944,0.001650912,5.237787458,4.726034066,0.307784403,4.354127655,0.424711078,3.172018809,0.065749303,4.326089964,0.398158414,3.860637417,0.13633374,2.747411808,0.010504557,5.641226155,4.718734136,0.119538549,4.321391278,0.400550375,2.825426118,0.031917939,3.738542741,0.104666718,4.016364679,0.198440605,4.092158996,0.236278856
CC026_F16,CC026,f,4.500538345,4.285512302,0.609500347,4.047819828,0.578505545,2.624282096,0.037710498,3.866995813,0.38149031,2.758154622,0.029692196,1.477121255,0.001554565,5.204993122,4.773135246,0.369949227,4.464549158,0.491375967,3.3287872,0.073153994,4.320354033,0.352548431,3.854306042,0.120550994,2.682145076,0.008109794,5.394850768,4.508583582,0.129936993,4.19520755,0.485986234,2.764922985,0.037129187,3.714245911,0.160569232,3.292256071,0.060767657,3.902655475,0.247783221
CC026_F17,CC026,f,5.029529871,4.833994466,0.637477111,4.584025754,0.562381839,3.144885418,0.036379746,4.428750149,0.393328741,3.239049093,0.025412923,2.243038049,0.002564741,5.054260574,4.643926194,0.38874572,4.290145955,0.442812386,3.137037455,0.070289669,4.244202876,0.398360879,3.741466762,0.12518162,2.440909082,0.006265892,5.704855458,4.579017191,0.074844817,4.25818216,0.4777107,2.726727209,0.029413388,3.683047038,0.127066143,3.843668723,0.18392956,3.751663946,0.148815016
CC026_F18,CC026,f,5.240998286,5.066094737,0.668492364,4.84450824,0.600362425,3.500785173,0.045318647,4.620625272,0.358534156,3.419129308,0.022544187,2.460897843,0.002482008,5.074564126,4.618267805,0.349706479,4.270562388,0.449049878,3.176380692,0.080504157,4.169027506,0.355434599,3.794975744,0.150213145,2.456366033,0.006888081,5.732024453,4.613387213,0.076096163,4.278273326,0.462259785,2.748962861,0.029558986,3.682325619,0.117202913,3.936312634,0.21034172,3.774516966,0.144920476
CC027_M19,CC027,m,4.957180923,4.514547753,0.360883336,4.432022748,0.826941896,2.964730921,0.034096372,3.583878598,0.117308869,3.119585775,0.040275229,2.029383778,0.003272171,5.005201969,4.322239975,0.20750951,4.050689028,0.535117375,2.245512668,0.01566115,3.474070503,0.141850388,3.755341184,0.271082329,2.170261715,0.007047283,5.578923299,4.886676812,0.203120386,4.74193121,0.716563031,3.364363355,0.041921049,4.0923697,0.16058053,3.277838333,0.024612828,3.751202095,0.073202394
CC027_M20,CC027,m,4.937231946,4.725151769,0.613648706,4.524123385,0.629465042,3.185258765,0.045828472,4.243335749,0.329749374,3.217747073,0.03108818,1.886490725,0.001449903,5.100298157,4.551388997,0.282547091,4.275334393,0.529596853,2.810904281,0.034321787,3.818225894,0.184857424,3.918030337,0.232616941,2.775974331,0.016772019,5.573384556,4.70495656,0.135385454,4.576456532,0.743875015,3.108903128,0.034075842,3.80760267,0.126661932,3.07371835,0.023375547,3.611829479,0.080699886
CC027_M21,CC027,m,4.928226813,4.61989645,0.491665389,4.469615861,0.707488543,3.209783015,0.054975242,3.977403481,0.227775512,3.311753861,0.049187801,2.041392685,0.002639345,4.922003629,4.48735052,0.367575783,4.134432125,0.443692007,2.704150517,0.037129439,3.743274524,0.180270226,3.992111488,0.319713495,2.733197265,0.017613544,4.889632201,4.201806643,0.205198623,4.026614968,0.66804901,2.574031268,0.03527088,3.45909079,0.18083569,2.972202838,0.058938109,2.98721923,0.061011624
CC027_M22,CC027,m,5.116690743,4.808899355,0.492275941,4.652497753,0.697587031,3.418798291,0.0583849,4.177853809,0.233859197,3.524396122,0.051939381,2.209515015,0.00251545,5.13844165,4.679264324,0.347394288,4.27749461,0.396488217,3.008174184,0.053787279,4.05380806,0.236888368,4.180555941,0.317169645,2.6599162,0.009564271,5.617335898,4.707033363,0.122941205,4.558120315,0.70971985,3.192009593,0.043041686,3.867585327,0.144727801,3.24723655,0.034689911,3.622006673,0.082219212
CC027_F23,CC027,f,4.331953395,3.928498268,0.394952505,3.785970125,0.720231078,2.426511261,0.043706008,3.160468531,0.170596557,2.910624405,0.095967932,0.77815125,0.00070738,5.244974401,4.774619141,0.338567089,4.397766256,0.4199012,2.965201701,0.036934774,4.083717564,0.203750378,4.294157481,0.330779312,2.789580712,0.010350506,5.578272368,4.765839855,0.154016584,4.597936394,0.679354629,3.353723938,0.056988542,3.842734019,0.119369717,3.626545659,0.072561425,3.706205542,0.087169727
CC027_F24,CC027,f,4.733550337,4.356083249,0.419307772,4.175308825,0.659516363,2.87909588,0.05055767,3.730055152,0.236576664,3.250420002,0.078403735,1.832508913,0.002995199,5.104534908,4.655416986,0.355534768,4.213305206,0.361316854,2.92992956,0.052074409,3.999869692,0.221030755,4.2067989,0.355944195,2.785329835,0.013486922,5.68646198,4.780079573,0.124055948,4.581596985,0.633165746,3.411788005,0.067638041,3.850217242,0.117527005,3.697490887,0.082682065,3.896029912,0.130602154
CC027_F25,CC027,f,4.918999598,4.603836958,0.483991083,4.397835765,0.622298576,2.998695158,0.039889573,4.099542529,0.313116223,3.289811839,0.048526043,1.929418926,0.002116323,5.211763761,4.837405339,0.422319932,4.38397685,0.352023382,2.984077034,0.039819902,4.413299764,0.376612235,4.207984247,0.234735572,2.667452953,0.006761571,5.561349481,4.694113598,0.135757589,4.4937786,0.630470836,3.090258053,0.039489302,3.875466416,0.151828331,3.162265614,0.029386781,3.878579238,0.152920476
CC027_F26,CC027,f,5.138574245,4.889565001,0.56362566,4.689344383,0.630636904,3.398634325,0.051202356,4.401503932,0.325041588,3.397592434,0.032212723,2.245512668,0.002269591,5.111914139,4.586947192,0.298560984,4.218535505,0.428142473,2.753583059,0.034280532,3.86003839,0.187538828,4.118099312,0.339744253,2.517195898,0.008516256,5.702973066,4.845110448,0.138719458,4.662965488,0.657438359,3.374565061,0.051475381,3.860697274,0.103654181,3.849665055,0.101054256,3.822298871,0.094883003
CC061_M27,CC061,m,4.974069344,4.655676166,0.480404229,4.510330491,0.715573626,3.361916619,0.071053607,4.059904056,0.253645925,3.047664195,0.024659714,1.544068044,0.000773378,5.352087928,4.838004858,0.306137781,4.535534625,0.498344611,3.517855419,0.096010956,4.399483352,0.364316208,3.838597253,0.100136497,3.015359755,0.015043708,5.269930693,4.310565872,0.109808303,4.064757399,0.567794952,2.737987326,0.047122674,3.421274791,0.129035414,3.491921713,0.151829388,3.308564414,0.099540207
CC061_M28,CC061,m,4.585494569,4.346529004,0.576812196,4.165184952,0.658651898,2.974511693,0.064465409,3.843419665,0.313971813,2.629409599,0.019181413,1.414973348,0.001170697,5.223594574,4.69345433,0.295025637,4.373941312,0.479167089,3.36267093,0.097438282,4.257942431,0.366849642,3.767452718,0.118576435,2.823474229,0.013490247,5.750742835,4.65898389,0.080954511,4.430526539,0.590938994,2.918030337,0.030725842,3.70457945,0.11106969,3.802157753,0.139050919,3.672559628,0.103175299
CC061_F29,CC061,f,4.855834011,4.482444792,0.423263463,4.301420685,0.659137307,3.29578694,0.09871116,3.9259821,0.277675338,3.147057671,0.046196905,1.643452676,0.001448798,5.354651928,4.780540524,0.266617466,4.50653209,0.532097926,3.564547712,0.114291944,4.271074527,0.309409756,3.810837151,0.107225141,2.921166051,0.013823739,5.681745811,4.5385486,0.071912235,4.280122896,0.551536547,2.870988814,0.038982162,3.642563437,0.127061751,3.775464809,0.172550495,3.496237545,0.090717055
CC061_F30,CC061,f,4.341632336,4.077803798,0.544717668,3.91481898,0.687092459,2.487138375,0.037352476,3.504606771,0.267179401,2.660865478,0.038287912,1,0.000835981,5.364337078,4.901708908,0.344644879,4.597563562,0.496426153,3.538573734,0.087299182,4.476251796,0.375442028,3.869642345,0.092882402,2.918554531,0.010395506,5.717553178,4.913225568,0.156917865,4.726833122,0.651039822,3.456517858,0.053664209,4.113475399,0.158580518,3.509471352,0.03946806,3.973174053,0.114801744
CC061_F31,CC061,f,4.744230378,4.595297768,0.709687883,4.377342684,0.605403484,3.259115844,0.076168107,4.170906809,0.376364837,2.725094521,0.013483317,1.602059991,0.001015692,5.484113266,5.032626818,0.353601055,4.760000047,0.533793436,3.720324717,0.09126929,4.563587866,0.339594813,4.008940661,0.094692121,3.142702246,0.012884733,5.74521771,4.828453654,0.121125601,4.587811952,0.57459031,3.28780173,0.050117544,3.944334592,0.130581285,3.947139518,0.131427384,3.894924977,0.11653901
CC061_F32,CC061,f,5.193002088,4.993837272,0.632171895,4.811467759,0.657098518,3.684935083,0.074725241,4.49299772,0.315617044,3.285557309,0.019575823,2.10720997,0.001298293,5.195611872,4.732602814,0.344342749,4.456138197,0.529097101,3.403806611,0.088647892,4.254644737,0.332691667,3.78604121,0.113093696,2.720985744,0.009736053,5.702771634,4.67018089,0.092770363,4.344628026,0.472549313,3.089198367,0.055535456,3.701049631,0.107366486,4.072801149,0.252708738,3.741309209,0.117795397